Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Dependiente/a,Domestiko,España,No especificado,+ 30 d,"3,9","Un/a dependiente/a para una empresa del sector de la alimentación situada en Vigo. La persona seleccionada desempeñará las siguientes funciones:


Atención a clientes y despacho en mostrador.
Gestión de cobro.
Preparación de pedidos.
Entre otras tareas propias del puesto de trabajo.
Jornada completa de 40 horas semanales entre lunes y domingo en turnos rotativos de mañanas y tardes en horario entre 09:00h y 21:00h con los descansos establecidos por ley.


Experiencia de mínimo un año en un puesto igual o similar al descrito.
Buscamos a una persona responsable y proactiva.
Valorable residencia cercana al puesto de trabajo.
Disponibilidad para trabajar fines de semana.
ESO o equivalente finalizada.",Pontevedra,Todos
Administrativo,Residua,España,No especificado,+ 30 d,"3,9","Requisitos
Resistencia al estrés
Flexibilidad
Positivismo (ser parte de la solución)
Trabajador/a duro y con resistencia a la frustración en tiempos difíciles
Acostumbrado a cambiar y capaz de gestionar los cambios
Conocimientos Técnicos:
Ser capaz de entender y gestionar las rutas
Descripción

Principales Funciones y Responsabilidades:

La función principal será dar apoyo al departamento de Logística en funciones administrativas relacionadas con el trasporte de mercancías.",Pontevedra,Todos
Empleado administrativo,Domestiko,España,No especificado,+ 30 d,"3,9","Puesto de empleado administrativo, con una experiencia mínima demostrable de 12 meses en funciones similares.

Se requiere formación profesional relacionada con la gestión administrativa, ya sea un Ciclo Medio de Gestión Administrativa o un Ciclo Superior de Administración y Finanzas. El contrato ofrecido es indefinido y a tiempo parcial, con una jornada semanal de 20 horas, distribuidas preferentemente en horario de tardes.

Las responsabilidades principales del puesto incluyen la atención telefónica, la toma de pedidos y el archivo de documentación.",Pontevedra,Todos
Administrativo/a con tareas de atención al público,Domestiko,España,No especificado,+ 30 d,"3,9","Puesto administrativo con responsabilidades de atención al público. Buscamos a una persona con una discapacidad reconocida que esté actualmente en búsqueda activa de empleo y desempleada.

Es fundamental contar con experiencia previa en un puesto de características similares para poder desempeñar adecuadamente las funciones.

Se ofrece un contrato indefinido a jornada completa.",Pontevedra,Todos
Auxiliar de Cajas/Reposición,Carrefour,España,No especificado,6 días,"3,9","¡Hola! ¡Queremos conocerte!
¿Te apasiona el mundo del comercio? ¿Te preocupas por los detalles? ¿Te consideras una persona dinámica? ¡Te estábamos esperando!
Carrefour es una empresa líder en comercio de alimentación y distribución y queremos que inicies una carrera profesional llena de posibilidades con nuestros mejores profesionales.
Pretendemos que todos los días sean un aprendizaje, que crezcas y llegues tan lejos como quieras. Te ofrecemos formación a cargo de la empresa y la posibilidad de promocionar internamente para seguir creciendo con nosotros.
¿Qué buscamos?
Que nuestros clientes quieran volver y para ello hay que empezar por nuestros colaboradores. Nuestro objetivo es encontrar personas con don de gentes, dinámicas, con capacidad de aprendizaje y a las que les guste trabajar en equipo.
¿Cuáles serían tus funciones?
Aportar la ayuda que nuestros clientes necesiten en su recorrido por la tienda. Te ocuparás del mantenimiento de la imagen de la tienda, organizar el almacén, cobrar en caja y reponer los productos, para dar a nuestros clientes el servicio que están buscando.


Nos encantará conocerte si cuentas con:

Educación Secundaria Obligatoria (formación mínima requerida).
Habilidades: orientación al cliente, trabajo en equipo, proactividad.
Se valora la experiencia previa pero no es imprescindible.",Pontevedra,Todos
Reponedor/a tienda de alimentación,Domestiko,España,"9,71 € Por hora (Proporcionado por la empresa)",29 días,"3,9","Se busca reponedor/a para una destacada empresa del sector de alimentación en Vigo. Las tareas principales incluirán la gestión del cobro de productos en caja, ofrecer asesoramiento y una atención cercana al cliente, y mantener las estanterías bien surtidas y organizadas.

El horario de trabajo es de lunes a sábado. Los lunes, la jornada será de 17:00 a 20:00. De martes a viernes, el horario se divide en dos turnos: de 9:00 a 13:30 y de 16:30 a 20:00. Los sábados, se trabajará de 9:00 a 14:00.

Se ofrece una remuneración de 9,71€ por hora. El puesto cuenta con un contrato inicial de un mes, con la posibilidad de ser prorrogado.

Requisitos mínimos:

Experiencia previa realizando funciones de cajero/a y atención al cliente
Experiencia en reposición de mercancía (preferiblemente en alimentación)
Disponibilidad de incorporación inmediata
Responsable
Con capacidad de trabajo en equipo.",Pontevedra,Todos
Peones agrícolas,Domestiko,España,No especificado,+ 30 d,"3,9","Se necesitan peones agrícolas para un contrato temporal de entre seis y doce meses. Las labores incluirán tareas generales del campo y se desarrollarán en jornada completa, abarcando diversas actividades propias del sector agrícola.

Se valorará la experiencia previa en trabajos similares y la capacidad para desempeñar las funciones requeridas en entornos rurales. Este puesto ofrece la oportunidad de trabajar al aire libre y participar activamente en las labores de cultivo y recolección.",Pontevedra,Todos
VENDEDOR/A - PONTEVEDRA TEEN (APERTURA),Mango,España,No especificado,20 días,"3,9","En Mango vestimos de pasión todo lo que hacemos. Con origen en Barcelona y presencia en más de 120 países, inspiramos al mundo con creatividad, innovación y autenticidad.
Nuestro equipo multicultural es el motor de nuestro éxito. Nos enorgullece llevar la moda más allá, conectando nuestro estilo único con personas de todo el mundo.
TU NUEVO PUESTO
Buscamos vendedor/a para nuestra tienda MANGO TEEN ubicada en Pontevedra.
Ofrecemos contratos indefinidos de 27 horas semanales con horarios rotativos, y dos días de descanso.
TUS PRINCIPALES RESPONSABILIDADES
Vender prendas de vestir, accesorios, calzado y artículos de piel, así como servicios relacionados como estilismo y personal shopping.
Interactuar con los clientes y empleados de apoyo a las ventas para maximizar la generación de ingresos y mejorar la experiencia del cliente.
Asistir e informar a los consumidores acerca de las ofertas, incluyendo la selección y compra de productos, con un conocimiento amplio de las políticas de la organización.
Realizar funciones de apoyo a nivel de tienda, incluyendo almacenamiento, servicio al cliente, programación, operaciones del día a día, cajas y servicios de prevención de pérdidas.
Ayudar con la realización de pedidos online si un producto no está disponible en la tienda.
SOBRE TI
Colaboración, trabajo en equipo y comunicación.
Orientación al cliente.
Iniciativa e innovación.
Se valorará experiencia en la caja y venta.
Persona dinámica, actitud positiva.
Candidatos internos: Deadline 16 de febrero
TUS BENEFICIOS:
Como parte del equipo de Mango, tendrás un 35% de descuento en todas nuestras líneas, ¡para que estés siempre a la última!
Paquete de retribución flexible con ventajas fiscales: seguro médico, formación y programa de guardería.
En Mango, invertimos en tu crecimiento personal y profesional. Accede a una oferta de formación variada, mentorías personalizadas, programas de desarrollo continuo y oportunidades de promoción interna que te impulsarán hacia el éxito.
¡Piensa en grande! Mango te ofrece oportunidades internacionales en más de 120 mercados para expandir tu horizonte y crecer junto con nosotros a nivel global.
En Mango, creemos en una cultura inclusiva donde la creatividad y la innovación nos inspiran a llevar la moda más allá. Por ello, tenemos el compromiso de ofrecer igualdad de oportunidades para todas las personas, valorando la autenticidad de cada individuo.
Taking Fashion
Further",Pontevedra,Todos
Técnico en gestión de stocks y/o almacén,Domestiko,Silleda,No especificado,+ 30 d,"3,9","Se busca personal con experiencia en la gestión de stocks y almacenes. Las tareas principales incluirán la preparación y toma de fotografías de los productos existentes, además de la gestión y digitalización del inventario almacenado.

Es fundamental que los candidatos dominen herramientas ofimáticas, especialmente programas como Excel, para poder llevar a cabo estas funciones de manera eficiente. Se valorará la capacidad de organización y atención al detalle en el manejo del stock.",Pontevedra,Todos
Empaquetador/a,Domestiko,España,No especificado,+ 30 d,"3,9","Se busca una persona para realizar tareas de empaquetado en un negocio del sector comercio ubicado en Vigo. Las responsabilidades principales incluirán la atención a los clientes de manera cercana y eficaz.

Además, se encargará del empaquetado de regalos, asegurando que se cumplan los estándares de calidad esperados. También podrá desempeñar otras funciones relacionadas con las actividades diarias del puesto.

La jornada ofrecida es a tiempo parcial, con una dedicación de 20 horas semanales. Se respetarán todos los descansos establecidos por la legislación vigente.


Experiencia previa en el sector.
Buscamos a una persona dinámica y proactiva.
Valorable residencia cercana al puesto de trabajo.
ESO finalizada.",Pontevedra,Todos
