Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Auxiliar administrativo/a,Domestiko,España,No especificado,+ 30 d,"4,0","Puesto de auxiliar administrativo/a para trabajar en Teruel. Se busca una persona con una formación mínima de Educación Secundaria Obligatoria (E.S.O.) y que actualmente se encuentre inscrita como demandante de empleo.

Las tareas principales incluirán la gestión de pedidos y la atención telefónica. Se ofrecerá un contrato indefinido con una jornada laboral completa, lo que significa una estabilidad laboral y la posibilidad de un desarrollo profesional a largo plazo.

Este rol se centra en dar soporte a las operaciones diarias, asegurando que las comunicaciones y las gestiones de suministros se realicen de manera eficiente y organizada.",Teruel,Todos
Cajero/a reponedor/a supermercados,Domestiko,España,No especificado,+ 30 d,"4,0","Se busca personal para supermercado en Teruel para desempeñar funciones de cajero/a y reponedor/a. Se requiere como mínimo la Educación Secundaria Obligatoria y experiencia previa en puestos similares dentro del sector de la alimentación.

Las tareas principales incluirán la atención al cliente en caja, gestionando las compras de forma eficiente y resolviendo sus dudas sobre productos y promociones. También se encargará de la apertura y cierre de caja, así como de la reposición de mercancía en los lineales para asegurar la disponibilidad de los productos. Se incluirá la colocación de precios y carteles informativos, la retirada de productos no aptos para la venta y el mantenimiento del orden y la limpieza de las áreas de trabajo.

Se ofrecen diferentes tipos de contratos: dos de 40 horas semanales, tres de 24 horas semanales y uno de 12 horas para fines de semana. Se brindará formación inicial y continua para el desarrollo profesional dentro de la empresa.",Teruel,Todos
Auxiliar de Transporte,Domestiko,España,No especificado,30 días,"4,0","Se necesita auxiliar para atender y guiar a viajeros, especialmente personas mayores, en estaciones de transporte público de Teruel.

Las tareas principales incluyen acompañar a los viajeros, ofrecerles información y orientación, y verificar sus billetes. Se busca a una persona con vocación de servicio, empatía y ganas de ayudar para asegurar que los viajes de los usuarios sean seguros y agradables.

Se ofrece una jornada laboral parcial que permite compaginar el trabajo con otras actividades, así como oportunidades de formación continua para el desarrollo profesional. El entorno de trabajo es dinámico, colaborativo y fomenta la inclusión, valorando el bienestar y la conciliación.",Teruel,Todos
Administrativo,Domestiko,España,No especificado,+ 30 d,"4,0","Se busca profesional con formación de Grado Medio o Superior en Administración. Es indispensable contar con una experiencia mínima de 12 meses en puestos similares para unirse a un equipo en el sector de la construcción.

La posición ofrece un contrato indefinido a jornada completa, con un horario establecido de 07:00 a 15:00. La remuneración se ajustará a lo estipulado en el convenio colectivo aplicable.",Teruel,Todos
Animador/a sociocultural - monitor/a de tiempo libre,Domestiko,España,No especificado,+ 30 d,"4,0","Se busca profesional para puesto de animador/a sociocultural y monitor/a de tiempo libre en Teruel.

Las principales responsabilidades incluyen la realización de sesiones de gimnasia de mantenimiento. Además, se ofrecerá apoyo directo a fisioterapeutas y terapeutas ocupacionales en sus labores.

Las condiciones laborales comprenden un contrato indefinido, con una jornada parcial de 20 horas semanales, distribuidas de lunes a viernes, en horario de 9:00 a 13:00. Es necesario estar registrado como persona demandante de empleo.",Teruel,Todos
Tzeltal Linguistic Projects (Remote),The Sigma Group,España,No especificado,+ 30 d,"4,0","Join Sigma.AI – Shaping the Future of Artificial Intelligence
What is Sigma?
Sigma is a leading global technology company specializing in data collection and annotation for Artificial Intelligence. With over 30 years of experience, offices in Spain, the US, and the UK, and operations in more than 200 languages, we support top multinational clients in developing cutting-edge AI solutions.
Soft Skills We Value
Are you a proactive professional who thrives on challenges, values collaboration, and approaches every task with empathy, integrity, and a passion for learning?
If so, we’d love to hear from you!
What Will You Do?
As part of our linguistic projects, your responsibilities may include:
Categorization – Annotation – Correction – Transcription – Evaluation – Conversational interactions – Voice recording – Content creation – Localization – Validation of audio, video, images, sentences, or words.
All tasks are remote, performed through an online platform available 24/7.
This opportunity is offered for freelancers under a commercial contract.
✅ Requirements
We are looking for candidates with the following qualifications:
Fluent in Tzeltal – Able to listen and write correctly without spelling mistakes
Fluent in English – Able to listen and write correctly without spelling mistakes
Basic computer skills
Preferred (but not mandatory):
Experience in data annotation or content rating
Strong attention to detail
Technical Requirements
To participate in our projects, you will need:
Computer:
Minimum 4GB RAM
Microphone and webcam
Operating system:
Windows 10 or higher
macOS 13 Ventura or higher
All OS updates installed and supported by the vendor
Connectivity & Accessories:
Stable internet connection
Headphones
Secure internet location, protected by a strong password
For audio-collection projects only:
Mobile phone with Android OS
Tablets and iOS devices are not supported
How to Apply

After submitting your application, you will receive an email with the required tests to assess your qualifications. These tests are mandatory to move forward in the process.
Check your inbox and spam folder, just in case!
Important Notes
Sigma.AI does not hire through third parties. No agents’ intermediaries or third parties are authorized to represent benefit from or participate in any way in the relationship. To this effect the Candidate agrees to provide any documentation or information reasonably requested by the Company to verify their identity and credentials. Should the Candidate fail to provide enough evidence of their identity to Sigma´s satisfaction, Sigma shall be entitled to withhold or terminate any offer with the Candidate.
The company may employ or rely on artificial intelligence systems in its selection processes. Such processing is carried out in an ethical, transparent, and legally compliant manner. The purpose of the processing is to evaluate the tests submitted in the course of the selection process (for instance the transcribed content provided by the candidate). The legal basis for processing your data is the pre-contractual relationship between the parties and/or the provision of requested services.
Need Help?
We’re here for any questions or concerns.
Join us and be part of something global, innovative, and impactful.
Sigma.AI – Data done right.
Department
Annotation & Translation
Locations
Santa Eulalia, Ciudad de México, México, Huehuetenango, Chiapas, United States, San Cristobal de las Casas
Remote status
Fully Remote
Employment type
Temporary
Sigma Ethics



Sigma follows a strong code of ethics upon which the company's culture is built. The principles drawn from this code guide all our professionals to perform quality work with integrity and accountability.

At Sigma, compliance with the law, maintaining a professional and independent stance, responsible decision-making, teamwork, continuous improvement and fluid communication with our clients are the pillars that allow us to be a world reference in the quality of the work we perform.
At Sigma, we ensure that everyone is treated fairly and equitably. We value professionalism, promote diversity and never allow any form of discrimination or any behavior that is not in line with the company's values and ethics. We promote dialogue and honest and respectful constructive criticism that drives us to constantly improve and value the work of others.
Our code of ethics helps us to fulfill our commitments to our clients, to generate an environment of trust and to maintain long-term relationships.


About Sigma Group
Help shape the future of ethical AI.
Learn more about Sigma.AI and Sigma Cognition.",Teruel,Todos
Promotores de cursos de cultura y ocio,Domestiko,España,No especificado,+ 30 d,"4,0","Se buscan promotores para difundir cursos de cultura y ocio en Teruel. Los candidatos deberán contar con formación básica (EGB o ESO) y carnet de conducir.

Las tareas principales incluirán visitar municipios para informar sobre la oferta formativa, organizar y dar charlas sobre herramientas digitales dirigidas a la población rural. También se encargará de ayudar a los interesados a inscribirse y resolver dudas, asegurando que la participación en los cursos sea sencilla. Además, se promoverán y coordinarán eventos locales para fomentar la participación ciudadana.

Se requiere optimizar las rutas de desplazamiento, registrar el progreso de las actividades y asegurar que el proyecto tenga un impacto tangible y medible en la comunidad. Se ofrece un contrato indefinido a jornada completa de 35 horas semanales.",Teruel,Todos
Gestor/a de marketing y redes sociales,Domestiko,España,No especificado,+ 30 d,"4,0","Se busca una persona para encargarse de la gestión de marketing digital y redes sociales en Teruel.

Es necesario contar con experiencia previa en marketing digital o haber recibido formación en áreas relacionadas.

El puesto ofrece un contrato indefinido y a jornada completa, con un salario que se definirá en función de la experiencia y valía del candidato.",Teruel,Todos
Empleados de agencia de viajes,Domestiko,España,No especificado,11 días,"4,0","Buscamos una persona para trabajar como empleado/a en una agencia de viajes en Teruel.

Es necesario contar con al menos un año de experiencia previa en puestos similares y haber cursado estudios de Turismo.

Se ofrece un contrato de duración indefinida con jornada laboral completa, permitiendo estabilidad y desarrollo profesional en el sector.",Teruel,Todos
Técnico/a de administración y operaciones,Domestiko,España,No especificado,+ 30 d,"4,0","Se busca profesional con experiencia para un puesto en administración y operaciones. Las responsabilidades incluyen la gestión administrativa y la mejora continua de procesos, asegurando la eficiencia en las operaciones diarias. También se encargará de la coordinación de eventos y actividades, prestando apoyo en la organización y desarrollo de los mismos.

Además, el rol implica la atención directa a empresas y clientes, ofreciendo soporte para diversos servicios. Se requerirá asistencia en la gestión de infraestructuras y equipamientos, contribuyendo así al buen funcionamiento de las instalaciones. El apoyo al crecimiento y la organización interna de la entidad es un aspecto clave del puesto.

Se ofrece un contrato indefinido a jornada completa, con una remuneración anual bruta de 26.406,17 euros distribuidos en 12 pagas. Los requisitos incluyen una formación mínima de Técnico Superior en Administración y Finanzas o Asistencia a la Dirección, y al menos 5 años de experiencia profesional en funciones administrativas u operativas. Se valorará experiencia adicional en gestión de proyectos, eventos o proveedores, así como conocimientos de idiomas y software específico de gestión. La residencia en Alcañiz o alrededores y la disponibilidad para trabajar fines de semana y fuera del horario habitual son esenciales.",Teruel,Todos
